name,address,rating,users,price_level,lat,lng,photo_url,today_hours,tipo,google_maps
Cerveceria La Reserva,"Guanguiltagua N38-44, Quito",4.5,547.0,2.0,-0.1763867,-78.47136239999999,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEFDfu0TCJIQkLPNIWNxSAP_8UnTYjiX--CLQ1nKYpJwkCEHfxNCJ75gpKExjC9bi7TtItdLEfUo8gc6gEHoz8ZJhC8Nan6OjYQ3Y0PUeX0RxiAgIvcxA-SCbBkB4KzbmTpQodlwQ7txmpUXfo5cdUNYM8dPN_aCBQahEdXlKiRoboLGeLGEneNseFK8y3RaSlZPbGUHb-QXDGWI3UOT_mqQQ-KLOCsg1M9ihgBnNxrs3dSEU9YIVpd7DZaFVC2qOhHeqd7x5zRyIReZVgRo-OuibT8T_ztUrzizbyBmAciRda6U7mP12MSXs08KyjQ9VkKbW3ZaGjc&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,16:00–23:30,restaurant,"https://www.google.com/maps?q=-0.1763867,-78.47136239999999"
CASTRILLON Eventos & Recepciones,"Avenida Eloy Alfaro N39-18, Quito",4.2,82.0,,-0.1758227,-78.4723862,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEEWxQza4LCDiwl7BsOEyXdJJyuPGOthgRyyRVRzfUWOu0sTrkV16UpAbt8U5n-hAWnctC97yr03GlKrlS3g9cRO_pO3uDchkH3GA1DrKXSONTgDCxmVBXXTMZdp04rLX8J9L9vfJ2lXrndeNaMCQ0GZ1hQmLkLY9kCu7ciy3PT_65AoAklnBazpj9sIJQue1iVXYz79Wk2WuGfyY0pAmAxX6wYW3nfT0tAXCjVuwJ5NKmNNFhzlEraPyT8bOokTFAQD_1Qmu-UYv0Qvk-TodROjeGdTIRuyEA_b5e-z9VjAMWlTtTGnsGSgyWWE6gSinShfOd_KqO9F8Wryx-RGXOkmEWFbCuDKCcExd_JRBkpBZcAcF1eGIJ0ZRALUA7GCA6HarF6CyttZ21i6QrVFsTOdZnhSBVeGlKtYwiNUPrSO0Gu9Nr12hgG6eRXtSeEfpEsG_DXu93kqZPftNrwuYX9jlNLm-bDMkIRshGXqvZPqJWw9bKlkr-Vo7y65ItW5AY9XpI9Y2wZApogqmxvj1bNsyyXC9QAxrBrQT-feyPMJ2Nx2hkzgbe0lqFtp8DGiiS8BMVqmCOJ3y80iORZijc2zjxhhY3fvam3Sy3rCXfb9WQW4pAhsaICxFNBmXPgy27Aqeo5A&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,9:00–18:00,restaurant,"https://www.google.com/maps?q=-0.1758227,-78.4723862"
A Kapela Cantobar & Lounge - Eloy Alfaro,"Avenida Eloy Alfaro N34-473, Quito",4.2,482.0,2.0,-0.1821896,-78.47578519999999,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEF5ZZdLgz30WrJHuABNV3PGl83uxJooaPJf_3dvyJWxhE_uh67VeP8lpNcjmB-MHJ28qpRQbsV0PLsMwrSWc4AraMqi2XIO0LuH0Qu4IT1Pbx5YMoqrLeRlfNyY2aoMTgvexccfEmM4saWR2MNVbQPtxcFo9uAmpHwxAJVzoJrVcDSIExC-MTTsvQw7x5NW9dmpAveIz-obqQYNx4l_4Hea8b626gr3jhQKMqHjnR_N5fDYjC7qxxCTyRB3uELfBqChn01Pckh4RyryVDqtE9G_4xAdU5QselRUCELfCLE952wy2DKDvbm6NuJxKB6e-MGUgNNI4so&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,18:00–3:00,restaurant,"https://www.google.com/maps?q=-0.1821896,-78.47578519999999"
"Sabor""es""Quito","Federico Paez 335 y, Quito",3.0,1.0,,-0.1849601,-78.47484279999999,/static/restaurant.jpg,Cerrado,restaurant,"https://www.google.com/maps?q=-0.1849601,-78.47484279999999"
La Vecindad de los Cuates,"Tomás Bermur (N14b) N39-97, Quito",4.3,2878.0,2.0,-0.1744769,-78.4709022,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEF6e-OYWDrD-NkIqI27KHWCq2e8O20oO47nSvKviQsAsW8iX8GqLYdQqkFSZa6YMQmF4h7SlYfH4z3moOuxvBBApXztKkhSptIU0R5YmRJzY_PESBdJATTd1W6yuRVNoMPfZyaapcd7Q1hD8TtOCrWUbWjytqBhVRW2h86WJV71KAFzHlZKvOHczueyJPGnkONufBiFvQzTRT4PQFqlCqfvsLS9kdpfLzjoskAueqnULS7WT6xIQRZ-SAHwAI7JkPIjPLEakBop85w13gq1OiCfg7X-y4lrw3ylssEss07hUbUEGpMdwjFtnh2m93LNBkZGBW5IOevPDDLNGbw9XfhAF0jZj6JWEdr0IHYRM1fmXgq-iIl3pul3zbiepdIpKARnn9BxjA_1ZznQ5yZZSlNX6labqARY3eS27r8Jkggn-Pu2dJoWkpEWBnb9rf0DX1NhGOg8YO5vHDqPe0fEHOvnR1B59jg3kpuIfPrD_P3uBh765wJavX4xDqm15EmmTlWm_D3OMVRajgiDp8_VorUTcD28ovgLXwdEzCV5MwgJ2ihPr9O7RgtH3ND2-Bb4nUhNJa60_0cE4jutM-1yhmt38uKK4FFvNGGLpPo-6L455ADPav4fE4ZeeEyNL6kn8rEdZex_&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,12:00–23:00,restaurant,"https://www.google.com/maps?q=-0.1744769,-78.4709022"
La Sazón de mi Huequito,"0, Quito",,,,-0.1806532,-78.4678382,/static/restaurant.jpg,7:30–19:30,restaurant,"https://www.google.com/maps?q=-0.1806532,-78.4678382"
"ASADERO ""YEJUDAVA""","y guayacanes en naranjal, Quito",,,,-0.1806532,-78.4678382,/static/restaurant.jpg,Horario no disponible,restaurant,"https://www.google.com/maps?q=-0.1806532,-78.4678382"
Di Tú Shawarmas,"República delSan Salvador N 34, 140Quito",5.0,1.0,,-0.1806532,-78.4678382,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEFqjX9bLJQNXHNNCsnnUw1e3zyfKqv-WI8i5Fn7VxV646fzoBgLkkKu0Z6BihVU3Y3ql9FahcfGZMrpfWQZr5dlLVapKE41dMjEpgrnM72jk8YCLUSx3lnubU1232urGnhUkl4oLdz1cDqpC9XDSH2KcpnAzk36LwO-_E-BPk-y5OW14eptK_PzkpG6SJ4MiVE0vIXNqa9MtY5EoXU4qQFefH4dMyEQDtUIbxx59BllgDWIDSzH1t5YSYLhKf8NlsTvNns_u1hhfGKk5xgeemBGdPUfEaUmkqZRWEJM_VSgzKAC-qcZFFVjbdE2fssgaQWU3RjUJc1FFzqId5nGi0xRUQPHizyPHkA8C_0WkidWCoob9CtnFMuSrjW4btuvaltBuxadnVGCNFKmJDh260WwAcSmwrU9u2yb3kzFgqiXSgeK9biVoYzUsJCj22eFR2mpWT0-TVTVFqUFyef_kfkKSiIy2PMftACwWWn3MhRibUjgnnjTjdeKQy4AGSafZ896AFMqI5mDKlPX1Oge4uq5e7oFrotUQyv6wa58ep24vMEp8uNkJax_Jk24_-YKJ2YRyp4SDolPcMD3smdxEPbOX0kP6CrVFvLdpDoUnrq0nNVo2_5qW2yHIG8XLyYKnOg4JgVg&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,Horario no disponible,restaurant,"https://www.google.com/maps?q=-0.1806532,-78.4678382"
Crispy VERDE,Quito,,,,-0.1806532,-78.4678382,/static/restaurant.jpg,0:00–22:00,restaurant,"https://www.google.com/maps?q=-0.1806532,-78.4678382"
Tertulia's Garden Gastro Bar,"170408, Quito",,,,-0.1806532,-78.4678382,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AU_ZVEHozARNPDwJ5SzVn62M25_UAqNlyYhIvVLeqaY2rB4f0nM0vFjJjlNmf5p0o9gCGUzCNUfIV-KA58BbejcKs-Rvqb3PrDmMlyBm7ePR-z3ajlVOKebqe3fcx51FHx2bVYIG2eDqOFiI191taug9uK9tGxMs-o258Up-MmvOXS4GQy8eiCeh3_C0tpIPLCdajGo3hkauW99DFsW5wU-RahcndcQ62Y7pyRK7B2P45-OuUUtWEvyDQGHvFftR1817wrct9QhATvDrCQUZvVqPnoNjya3OS4ynRYnlsBLnChBgtGjHLwTttS_qZ8rlvXBvFykF6DhA&key=AIzaSyB8Ldxv4iwDTHLilcZXd9G4Ej5L4Bv9JSU,3:00–13:00,restaurant,"https://www.google.com/maps?q=-0.1806532,-78.4678382"
