Nombre,Horario,Dirección,Calificación,Usuarios
Botica Alemana,9:00–14:00,"Avenida 10 de Agosto N21-295 y, Quito",4.5,138
Fybeca Amazonas,8:00–20:00,"FRENTE AL HOTEL HILTON, Avenida Río Amazonas y Avenida Patria 51 Y, COLON",3.8,45
Farmacia Cruz Azul,Horario no disponible,Quito,3.4,17
Farmacias Cruz Azul,Horario no disponible,"Portoviejo N19-A Y, Quito",3.7,6
FARMACIA FOCH,"10:00–13:00, 17:00–22:00","Colón E4147, Quito",3.8,16
MegaBotikas,Horario no disponible,"QFWW+753, Quito",N/A,0
FARMACIA PAF AFESE,Horario no disponible,"Vicente Ramón Roca y C 951 y, Quito",N/A,0
Far Medical,Horario no disponible,"San Gregorio OE386, Quito",N/A,0
Botica Pastuer,Cerrado,"Av. 10 de Agosto &, Jorge Washington Local 13, Quito",4,8
JHOSMEDIK UIO Farmacia,8:30–13:00,"Edificio Andrade, Avenida 10 de Agosto y Bolivia N20-53 Y, Quito",5,1
Farmacia Aranjuez,Cerrado,"Avenida, 9 de Octubre, Santa Clara N21-217, Quito",N/A,0
Farmacias Su Economía,8:00–18:30,"Bolivia y Avenida 10 de Agosto Oe1-33 y, Quito",5,1
Farmaciaş Comunitarias,Horario no disponible,"Bolivia 161, Quito",5,2
El Rocío Farmacias,Horario no disponible,"QGV3+P8V, Jorge Washington, Quito",N/A,0
Medicina Alternativa,Horario no disponible,"18 de Septiembre 357, Quito",N/A,0
FARMACIAS ECONOMICAS QUITO PUENTE DEL GUAMBRA,Horario no disponible,"Avenida Perez Guerrero y Portoviejo N19-16 y, Quito",5,1
FARMACIAS MEDICITY QUITO PATRIA,8:00–19:00,"Avenida Río Amazonas y 18 de Septiembre 73 y, Quito",N/A,0
"Centro naturista ""Salud Natural""",9:00–17:00,"Jerónimo Carrión y 9 de Octubre E4-41 y, Quito",5,2
Mayor Piel,Horario no disponible,"Avenida Río Amazonas 21255, Quito",N/A,0
La Rebaja,Horario no disponible,"QGX2+GXQ, Avenida 10 de Agosto, Quito",3,2
Farmacia Santa Marta 763,Horario no disponible,"Centro Comercial Espiral, local 65pb Jorge Washington, y y Avenida Río Amazonas 170143, N 20-80 y, Quito",N/A,0
